ZIP,TotalPopulation,Crowding among housing units,Housing cost burden among households,No broadband internet subscription among households,No high school diploma among adults aged 25 years or older,Persons aged 65 years or older,Persons living below 150% of the poverty level,Persons of racial or ethnic minority status,Single-parent households,Unemployment among people 16 years and older in the labor force
1.0,-0.055319905363415675,-0.008478053253447372,-0.1324886159878285,0.23808347974534885,0.19410987214879555,0.004725061507361885,0.18483817733085042,-0.0351769577595675,-0.00897912262077951,0.04981369864080077
-0.055319905363415675,1.0,0.36099375681510665,0.29155739706499206,-0.14700454478827887,0.156430603268972,-0.22482241407768966,0.04242020444307485,0.586956496310895,0.1704669339363742,0.07111201679945066
-0.008478053253447372,0.36099375681510665,1.0,0.29293389085233473,0.09330625633890413,0.38764172460859536,-0.22632802682980008,0.24821438458916326,0.4520162806013602,0.15730945946629826,0.1177899797265159
-0.1324886159878285,0.29155739706499206,0.29293389085233473,1.0,0.1512315051163271,0.3134372285789711,-0.057237900042063194,0.49686261315529584,0.43010414940409003,0.2516396106137307,0.23501780050470855
0.23808347974534885,-0.14700454478827887,0.09330625633890413,0.1512315051163271,1.0,0.3603224274752341,0.15217728537418684,0.4044509086433458,-0.06961763205624717,7.709113704579474e-05,0.10899310054652041
0.19410987214879555,0.156430603268972,0.38764172460859536,0.3134372285789711,0.3603224274752341,1.0,-0.1321560527379832,0.4717568364449909,0.3597528616221723,0.17802949183640757,0.1839040064439942
0.004725061507361885,-0.22482241407768966,-0.22632802682980008,-0.057237900042063194,0.15217728537418684,-0.1321560527379832,1.0,-0.11237206653167318,-0.32230913729878796,-0.22397561657692985,-0.082068526822725
0.18483817733085042,0.04242020444307485,0.24821438458916326,0.49686261315529584,0.4044509086433458,0.4717568364449909,-0.11237206653167318,1.0,0.2180742289793698,0.3107892400956903,0.2949032492310221
-0.0351769577595675,0.586956496310895,0.4520162806013602,0.43010414940409003,-0.06961763205624717,0.3597528616221723,-0.32230913729878796,0.2180742289793698,1.0,0.2927449883308317,0.22265230182262877
-0.00897912262077951,0.1704669339363742,0.15730945946629826,0.2516396106137307,7.709113704579474e-05,0.17802949183640757,-0.22397561657692985,0.3107892400956903,0.2927449883308317,1.0,0.07595805361697495
0.04981369864080077,0.07111201679945066,0.1177899797265159,0.23501780050470855,0.10899310054652041,0.1839040064439942,-0.082068526822725,0.2949032492310221,0.22265230182262877,0.07595805361697495,1.0
